"","id","date","screen_name","text","pre_processed_text","rt","like"
"22033",22033,2020-04-27,"tempodotco","Dikecualikan dari Pembukaan Lockdown Corona, Gereja Italia Protes https://t.co/r4PEqA7j9D","dikecualikan dari pembukaan lockdown corona gereja italia protes",2,6
"71553",71553,2020-04-26,"Selfiutami","Ya allah corona kapan berlalu :(((((","ya allah corona kapan berlalu",0,0
"1732",1732,2020-04-27,"sahawae_885","@sandalista1789 Iiihh janji, emang loe bisa jamin ni virus bisa ilang di buln ntu, kalau ngomong itu mbo to yaa ga usah sombong.. bilang InsyaAlloh kek, mudah2an kek.. 

Jambu.. janji janji janjimu janji busuk..","iiihh janji emang loe bisa jamin ni virus bisa ilang di buln ntu kalau ngomong itu mbo to yaa ga usah sombong bilang insyaalloh kek mudahan kek jambu janji janji janjimu janji busuk",0,0
"53569",53569,2020-04-27,"LiemasL","@Ayah_Nahl @syifaz1995 Setuju saya. Mending catetin aja identitas nya kalo kena corona jangan di terima di RS suruh balik ke mesjid aja berdoa","setuju saya mending catetin aja identitas nya kalo kena corona jangan di terima di rs suruh balik ke mesjid aja berdoa",0,1
"8019",8019,2020-04-27,"Benikaleeem","@ridwankamil Haturnuhun  kang @ridwankamil  sudah bekerja sakuat tanaga ngabela rahayatna masyarakat jabar ngabendung mambrahna virus,  akang lah gubernur yg benar bekerja tanpa banyak vloging  selamat bekerja sy  masyarakat jabar siyap mdukung n mbantu dgn diam di rumah","haturnuhun kang sudah bekerja sakuat tanaga ngabela rahayatna masyarakat jabar ngabendung mambrahna virus akang lah gubernur yg benar bekerja tanpa banyak vloging selamat bekerja sy masyarakat jabar siyap mdukung n mbantu dgn diam di rumah",0,0
"88964",88964,2020-04-26,"sarjokooo","Ramadan memang tempatnya masyarakat Arab untuk menyepi. Karenanya banyak peristiwa penting dalam sejarah Islam yang terjadi karena Nabi sedang ‘menyepi’. 

Tulisan terbaru hamba di @islamidotco https://t.co/JjrFQ4glu4","ramadan memang tempatnya masyarakat arab untuk menyepi karenanya banyak peristiwa penting dalam sejarah islam yang terjadi karena nabi sedang ‘menyepi’ tulisan terbaru hamba di",1,2
"77450",77450,2020-04-26,"SiyabongaNgcob7","@africa_stolen @ntsikimazwai @DlaminiZuma @DrAceMagashule @Magashule_Ace Ugwayi sazi sonke ukuthi ulwa namaphaphu, ngokunjalo ne corona virus ilwa namaphaphu, kodwa umongameli uthi asibhemeni, while we trying to fight corona virus.. 
ZIZOJIKA IZINTO NGELINYE ILANGA, IZINYEMBEZI NAMANDLA ABANTU ABAMNYAMA LAWA EKUTHENGISWA NGAWO KANJENA","ugwayi sazi sonke ukuthi ulwa namaphaphu ngokunjalo ne corona virus ilwa namaphaphu kodwa umongameli uthi asibhemeni while we trying to fight corona virus zizojika izinto ngelinye ilanga izinyembezi namandla abantu abamnyama lawa ekuthengiswa ngawo kanjena",0,1
"42618",42618,2020-04-27,"mnhamzahs","Semenjak ada corona, hidup hampa sekali sampe sampe ngelakuin apa aja juga kosong gtu:(","semenjak ada corona hidup hampa sekali sampe sampe ngelakuin apa aja juga kosong gtu",0,0
"60542",60542,2020-04-26,"_Ling15","Pandemi virus Corona Covid-19 mengkibatkan banyak pekerja di sektor informal tidak
mendapat penghasilan seperti biasa. #CiptakerLindungiBuruh
https://t.co/8glafSHqjp","pandemi virus corona covid  mengkibatkan banyak pekerja di sektor informal tidak mendapat penghasilan seperti biasa",0,0
"75763",75763,2020-04-26,"ahmadyasin54321","@geloraco Dulu lu pud brcanda dngn virus corona...skrang rasain lu kewalahan ... https://t.co/JR11RJN34s","dulu lu pud brcanda dngn virus corona skrang rasain lu kewalahan",0,1
"21207",21207,2020-04-27,"AleeBaharJokhio","@roznamadunya Jab Corona Aya tha to starting m ye bayan ai the mask abi tk NH bane ,, ??? Mask illegal price per bheje ja rhe hen","jab corona aya tha to starting m ye bayan ai the mask abi tk nh bane mask illegal price per bheje ja rhe hen",0,0
"45136",45136,2020-04-27,"HarimanAz","kebijakan PSBB merampas hak manusia sebagai mahluk sosial. Hak Sosial Manusia Mendasar.
kompensasi pemerintah harus memenuhi 10x lipat hari hak hidup sebelum PSBB. 
Dananya tuntut Nerara China sebagai penyebar Virus yg pertama.","kebijakan psbb merampas hak manusia sebagai mahluk sosial hak sosial manusia mendasar kompensasi pemerintah harus memenuhi x lipat hari hak hidup sebelum psbb dananya tuntut nerara china sebagai penyebar virus yg pertama",0,1
"10",10,2020-04-27,"Genpi_Co","Sinar Mas Land tidak henti-hentinya mendukung upaya pemerintah pusat dan daerah untuk memerangi virus corona (covid-19). #SinarMasLand https://t.co/OckbbOnpsp","sinar mas land tidak henti hentinya mendukung upaya pemerintah pusat dan daerah untuk memerangi virus corona covid ",0,0
"73351",73351,2020-04-26,"bp_naga","@Dennysiregar7 Kenapa di situasi covid-19 sprti ini,masih ada org2 berpikiran licik dgn survei begini.manusia apa kah jenis mu.","kenapa di situasi covid  sprti ini masih ada org berpikiran licik dgn survei begini manusia apa kah jenis mu",0,1
"71571",71571,2020-04-26,"barebeaaar","Selalu kepikiran bakal kehilangan sesuatu setelah corona selesai tp gatau kehilangan apa dan gamau kehilangan apa apa<U+0001F614><U+0001F614><U+0001F614>","selalu kepikiran bakal kehilangan sesuatu setelah corona selesai tp gatau kehilangan apa dan gamau kehilangan apa apa",0,0
"10757",10757,2020-04-27,"Jellybearssss","@chicohakim "" takut kok sama virus, takut sama allah""
mati mah udh di atur sama allah.
teraweh mah teraweh aja ngapain sih takut.

ketiga kata ini yg terdengar ketika ada yg teraweh di deket rumah padahal di sini udh ada yg positif<U+0001F643><U+0001F643>","takut kok sama virus takut sama allah mati mah udh di atur sama allah teraweh mah teraweh aja ngapain sih takut ketiga kata ini yg terdengar ketika ada yg teraweh di deket rumah padahal di sini udh ada yg positif",0,0
"70473",70473,2020-04-26,"cihuahuahaboy","@cheezcaxe g ah kena corona","g ah kena corona",0,0
"71763",71763,2020-04-26,"BrajeshSyadav","Forget Hindu-Muslim, donate plasma, save lives from coronavirus: Arvind Kejriwal - India News https://t.co/6pwTiS7Vow","forget hindu muslim donate plasma save lives from coronavirus arvind kejriwal india news",0,0
"42093",42093,2020-04-27,"dianalaily21","Surat Edaran tersebut sebagai panduan beribadah yang sejalan dengan Syariat Islam sekaligus mencegah, mengurangi penyebaran, dan melindungi pegawai serta masyarakat muslim di Indonesia dari risiko Covid-19. #JanganNgumpulDosa","surat edaran tersebut sebagai panduan beribadah yang sejalan dengan syariat islam sekaligus mencegah mengurangi penyebaran dan melindungi pegawai serta masyarakat muslim di indonesia dari risiko covid ",0,0
"34348",34348,2020-04-27,"MataMatamerah","Kabar gembira untuk warga Indonesia. Selasa, 21 April 2020 pemerintah kembali mengumumkan data terbaru mengenai jumlah pasien corona covid-19.  #JanganNgumpulDosa","kabar gembira untuk warga indonesia selasa  april  pemerintah kembali mengumumkan data terbaru mengenai jumlah pasien corona covid ",0,0
"22212",22212,2020-04-27,"vitorzanotti_","@joormuller sika virus","sika virus",0,1
"64424",64424,2020-04-26,"gonkcil","@wahhabicc_jabar Gampang, kalo ada yg tertular covid-19, khan tinggal nyalahin pemerintah...gitu aja kok repot.. <U+0001F606>","gampang kalo ada yg tertular covid  khan tinggal nyalahin pemerintah gitu aja kok repot",0,0
"7611",7611,2020-04-27,"chiiecatty","Yaaa semoga yaa Alloh secepatnya bsa pnya rumah ataupun rmh kontrakan stlh virus jahanam ini usai.. Udah ga kuat sbnrnya tp kuharus kuat..","yaaa semoga yaa alloh secepatnya bsa pnya rumah ataupun rmh kontrakan stlh virus jahanam ini usai udah ga kuat sbnrnya tp kuharus kuat",0,0
