"","id","date","screen_name","text","pre_processed_text","rt","like"
"5240",5240,2020-04-27,"dr_katema","@meingotistsehr @MChibwaye @godbless_lema Safi saana, lakini kumbuka na anae msapoti Lema ni mjinga wa kiwango cha phd. Sasa lema ana point gani zaidi ya stress tu ndizo kajaza kichwani kwasasa, maana yeye corona imekuwa ndio agenda kuu, wakati kuna maisha mengine lazima yaendelee, hatuwezi kukaa all the time corona, why","safi saana lakini kumbuka na anae msapoti lema ni mjinga wa kiwango cha phd sasa lema ana point gani zaidi ya stress tu ndizo kajaza kichwani kwasasa maana yeye corona imekuwa ndio agenda kuu wakati kuna maisha mengine lazima yaendelee hatuwezi kukaa all the time corona why",0,1
"96442",96442,2020-04-26,"fiks_al11","Kangen kosan
Kangen gerlong
Kangen UPI
Kangen Mama Lagend
Kangen Borma
Kangen Ciwalk
Kangen ngabuburit beli es goyobod
Please corona, go away!","kangen kosan kangen gerlong kangen upi kangen mama lagend kangen borma kangen ciwalk kangen ngabuburit beli es goyobod please corona go away",0,0
"43149",43149,2020-04-27,"batamtoday","IKAPTK Batam Bantu Pemerintah Cegah Covid-19 https://t.co/JXQmQQP2bh","ikaptk batam bantu pemerintah cegah covid",0,0
"57426",57426,2020-04-27,"polsekrejo","Anggota Satuan Lalu Lintas memberi himbauan memakai masker kepada masyarakat untuk pencegahan covid 19 https://t.co/2diF8Dn5tF","anggota satuan lintas himbauan memakai masker masyarakat pencegahan covid",0,0
"24536",24536,2020-04-27,"kolorjahanam","Mutual aku ada yang udah pernah bikin poster tentang virus corona ga??","mutual udah bikin poster virus corona ga",0,0
"34301",34301,2020-04-27,"EngkangSttm","@Nerazzurri_Ale Ahhhh kita mimpi jangan terlalu jauh...
Mikirin bini Icardi nya itu yg ga nahan...

Semoga Corona Segera Hilang Dari Muka Bumi","ahhhh mimpi mikirin bini icardi nya yg ga nahan semoga corona hilang muka bumi",0,0
"55937",55937,2020-04-27,"GATRA_News","Terdampak Corona, Buruh dan Nelayan Terima Bantuan Sembako https://t.co/OqWugxjwsy","terdampak corona buruh nelayan terima bantuan sembako",0,0
"28032",28032,2020-04-27,"daniaratikaa","@alda_dini @kindaxcool @inizazaza wkwk<U+0001F923> efek corona","wkwk efek corona",0,0
"35723",35723,2020-04-27,"Bian_24oliver","II Baru aja selesai kuliah, sarjananya dikala pandemi, semua rencana berantakan, harus mulai dari nol, mulai lagi mencari relasi dr awal, sampe kapan ky gini anjing II
.
.
.
Suara hati sarjana #COVID19","ii aja selesai kuliah sarjananya dikala pandemi rencana berantakan nol mencari relasi dr sampe ky gini anjing ii suara hati sarjana",0,0
"12463",12463,2020-04-27,"lindaaa5_","@yakinbisa_kurus Sabarrr <U+0001F923> Corona ilang, gas ketemuan","sabarrr corona ilang gas ketemuan",0,0
"93422",93422,2020-04-26,"Deefit1995","@contactap2 Lalu bagaimana dengan rencana penutupan penerbangan dengan tujuan memutus mata rantai covid_19? 
Akankah efektif?","rencana penutupan penerbangan tujuan memutus mata rantai covid efektif",0,0
